data,prezzo_eur_mwh
2022-12-12,148.9338
2022-12-13,140.7738
2022-12-14,142.9032
2022-12-15,135.1895
2022-12-16,135.9325
2022-12-17,112.3319
2022-12-18,106.7895
2022-12-19,108.9589
2022-12-20,106.9687
2022-12-21,104.8580
2022-12-22,95.1478
2022-12-23,86.8792
2022-12-24,78.7559
2022-12-25,75.4502
2022-12-26,77.2786
2022-12-27,82.5533
2022-12-28,79.3571
2022-12-29,75.7266
2022-12-30,77.8943
2022-12-31,71.5378
2023-01-01,71.1636
2023-01-02,72.3329
2023-01-03,72.4633
2023-01-04,72.6382
2023-01-05,67.6852
2023-01-06,65.4785
2023-01-07,68.1591
2023-01-08,69.5456
2023-01-09,69.5913
2023-01-10,74.6349
2023-01-11,73.4699
2023-01-12,69.6977
2023-01-13,70.7150
2023-01-14,66.1550
2023-01-15,64.4150
2023-01-16,65.0100
2023-01-17,59.1778
2023-01-18,63.4129
2023-01-19,67.0119
2023-01-20,66.6376
2023-01-21,69.6489
2023-01-22,73.3562
2023-01-23,73.5352
2023-01-24,72.5690
2023-01-25,66.1823
2023-01-26,63.0856
2023-01-27,62.6540
2023-01-28,61.6069
2023-01-29,59.9331
2023-01-30,60.3077
2023-01-31,60.8212
2023-02-01,62.0074
2023-02-02,62.8325
2023-02-03,59.5489
2023-02-04,59.0050
2023-02-05,60.6086
2023-02-06,66.8036
2023-02-07,63.2800
2023-02-08,61.1995
2023-02-09,59.0008
2023-02-10,58.5095
2023-02-11,57.4064
2023-02-12,58.0265
2023-02-13,57.3991
2023-02-14,55.9004
2023-02-15,56.4094
2023-02-16,57.6959
2023-02-17,56.1873
2023-02-18,51.2922
2023-02-19,51.5593
2023-02-20,51.7033
2023-02-21,52.9429
2023-02-22,51.3239
2023-02-23,51.7282
2023-02-24,51.4067
2023-02-25,50.6243
2023-02-26,51.5211
2023-02-27,56.1166
2023-02-28,52.9728
2023-03-01,51.8265
2023-03-02,52.3919
2023-03-03,51.6422
2023-03-04,47.9279
2023-03-05,47.0877
2023-03-06,49.5013
2023-03-07,44.9316
2023-03-08,45.9243
2023-03-09,43.4646
2023-03-10,41.3323
2023-03-11,49.0761
2023-03-12,48.5603
2023-03-13,50.0430
2023-03-14,51.1745
2023-03-15,47.4137
2023-03-16,45.6471
2023-03-17,46.3666
2023-03-18,45.2795
2023-03-19,42.4791
2023-03-20,44.1720
2023-03-21,43.3414
2023-03-22,44.3685
2023-03-23,44.4300
2023-03-24,45.2783
2023-03-25,42.8720
2023-03-26,41.3860
2023-03-27,43.1586
2023-03-28,45.8134
2023-03-29,46.5758
2023-03-30,45.6318
2023-03-31,43.5264
2023-04-01,44.9654
2023-04-02,47.0153
2023-04-03,48.7535
2023-04-04,52.1103
2023-04-05,51.3815
2023-04-06,51.3573
2023-04-07,47.8440
2023-04-08,44.0271
2023-04-09,43.1179
2023-04-10,44.2008
2023-04-11,46.7523
2023-04-12,49.0925
2023-04-13,48.9410
2023-04-14,46.9847
2023-04-15,43.7776
2023-04-16,43.9000
2023-04-17,47.2295
2023-04-18,46.9198
2023-04-19,47.2275
2023-04-20,45.9788
2023-04-21,45.5145
2023-04-22,43.3577
2023-04-23,41.4952
2023-04-24,41.8909
2023-04-25,38.2837
2023-04-26,42.2819
2023-04-27,41.5597
2023-04-28,40.2400
2023-04-29,39.7401
2023-04-30,36.8981
2023-05-01,38.6759
2023-05-02,43.3684
2023-05-03,42.6754
2023-05-04,40.3224
2023-05-05,39.1003
2023-05-06,35.2223
2023-05-07,38.7793
2023-05-08,41.7178
2023-05-09,41.5364
2023-05-10,40.6643
2023-05-11,39.0533
2023-05-12,38.1567
2023-05-13,34.2986
2023-05-14,33.2381
2023-05-15,36.5362
2023-05-16,35.3968
2023-05-17,34.8248
2023-05-18,36.1768
2023-05-19,33.3615
2023-05-20,30.6901
2023-05-21,29.8048
2023-05-22,34.0376
2023-05-23,32.5637
2023-05-24,32.2750
2023-05-25,31.2349
2023-05-26,27.5571
2023-05-27,24.1201
2023-05-28,25.2601
2023-05-29,28.4942
2023-05-30,29.9291
2023-05-31,28.4522
2023-06-01,26.9099
2023-06-02,23.7245
2023-06-03,23.8501
2023-06-04,23.8273
2023-06-05,25.3120
2023-06-06,28.9571
2023-06-07,28.0749
2023-06-08,27.9068
2023-06-09,28.6977
2023-06-10,31.8238
2023-06-11,32.9408
2023-06-12,35.4913
2023-06-13,31.4269
2023-06-14,32.9933
2023-06-15,38.3449
2023-06-16,42.6560
2023-06-17,34.9860
2023-06-18,34.1162
2023-06-19,36.2423
2023-06-20,36.6925
2023-06-21,42.0624
2023-06-22,41.8906
2023-06-23,36.6836
2023-06-24,32.3207
2023-06-25,35.7328
2023-06-26,36.4659
2023-06-27,36.2804
2023-06-28,36.4169
2023-06-29,37.7764
2023-06-30,36.1314
2023-07-01,37.0022
2023-07-02,36.2215
2023-07-03,40.0216
2023-07-04,37.2247
2023-07-05,36.7096
2023-07-06,37.1089
2023-07-07,34.9310
2023-07-08,33.0037
2023-07-09,31.3118
2023-07-10,37.2003
2023-07-11,34.9476
2023-07-12,33.2152
2023-07-13,31.1946
2023-07-14,28.7315
2023-07-15,26.9822
2023-07-16,26.7862
2023-07-17,28.7845
2023-07-18,28.9241
2023-07-19,29.4870
2023-07-20,29.9914
2023-07-21,30.6844
2023-07-22,31.2568
2023-07-23,29.4273
2023-07-24,31.6316
2023-07-25,33.2320
2023-07-26,33.8203
2023-07-27,31.7365
2023-07-28,29.3580
2023-07-29,26.4118
2023-07-30,25.8921
2023-07-31,26.3995
2023-08-01,28.8398
2023-08-02,30.1603
2023-08-03,30.5116
2023-08-04,32.6055
2023-08-05,29.1813
2023-08-06,29.0702
2023-08-07,30.0431
2023-08-08,28.8924
2023-08-09,28.7381
2023-08-10,36.2429
2023-08-11,34.4580
2023-08-12,29.2696
2023-08-13,28.9238
2023-08-14,29.4659
2023-08-15,28.3566
2023-08-16,34.1675
2023-08-17,34.5217
2023-08-18,33.7334
2023-08-19,29.6549
2023-08-20,34.6807
2023-08-21,43.7697
2023-08-22,39.4031
2023-08-23,43.6826
2023-08-24,41.0127
2023-08-25,34.3151
2023-08-26,38.5634
2023-08-27,39.1245
2023-08-28,39.7796
2023-08-29,41.2050
2023-08-30,40.1553
2023-08-31,36.9357
2023-09-01,33.2579
2023-09-02,31.3984
2023-09-03,31.1974
2023-09-04,33.6400
2023-09-05,32.1539
2023-09-06,34.1147
2023-09-07,34.7369
2023-09-08,34.5076
2023-09-09,34.5285
2023-09-10,33.8677
2023-09-11,37.2089
2023-09-12,40.6797
2023-09-13,39.6939
2023-09-14,39.5332
2023-09-15,38.4525
2023-09-16,36.7888
2023-09-17,37.8377
2023-09-18,39.3770
2023-09-19,36.9770
2023-09-20,37.5002
2023-09-21,39.0541
2023-09-22,39.1374
2023-09-23,39.4146
2023-09-24,38.1613
2023-09-25,40.5556
2023-09-26,42.9945
2023-09-27,40.5561
2023-09-28,38.9491
2023-09-29,40.2972
2023-09-30,32.8439
2023-10-01,34.4762
2023-10-02,40.3375
2023-10-03,36.0107
2023-10-04,32.6903
2023-10-05,34.5168
2023-10-06,31.3017
2023-10-07,32.6219
2023-10-08,37.8669
2023-10-09,36.0330
2023-10-10,41.5075
2023-10-11,45.8890
2023-10-12,47.8735
2023-10-13,48.7336
2023-10-14,50.8056
2023-10-15,48.5228
2023-10-16,52.9305
2023-10-17,49.3135
2023-10-18,46.3535
2023-10-19,47.0973
2023-10-20,44.2925
2023-10-21,45.2178
2023-10-22,44.5768
2023-10-23,47.9742
2023-10-24,48.1377
2023-10-25,48.3866
2023-10-26,48.4993
2023-10-27,47.7045
2023-10-28,45.2595
2023-10-29,45.5396
2023-10-30,47.0284
2023-10-31,46.7223
2023-11-01,38.5434
2023-11-02,35.9807
2023-11-03,38.5958
2023-11-04,38.9600
2023-11-05,38.5033
2023-11-06,42.3679
2023-11-07,42.1518
2023-11-08,43.7943
2023-11-09,43.7131
2023-11-10,42.5520
2023-11-11,39.0736
2023-11-12,39.9114
2023-11-13,43.5720
2023-11-14,43.0434
2023-11-15,43.8578
2023-11-16,44.8979
2023-11-17,43.4884
2023-11-18,42.0725
2023-11-19,41.7233
2023-11-20,42.1570
2023-11-21,44.0337
2023-11-22,44.2367
2023-11-23,44.1909
2023-11-24,44.5774
2023-11-25,44.9689
2023-11-26,45.0771
2023-11-27,48.5981
2023-11-28,44.9567
2023-11-29,43.8561
2023-11-30,42.7018
2023-12-01,41.6407
2023-12-02,41.6172
2023-12-03,43.5049
2023-12-04,46.0054
2023-12-05,43.2606
2023-12-06,40.9115
2023-12-07,39.9389
2023-12-08,37.4955
2023-12-09,37.4926
2023-12-10,39.1172
2023-12-11,40.1872
2023-12-12,37.6057
2023-12-13,36.4529
2023-12-14,36.7714
2023-12-15,35.0090
2023-12-16,31.4274
2023-12-17,32.6229
2023-12-18,34.6212
2023-12-19,36.3608
2023-12-20,34.9304
2023-12-21,35.0194
2023-12-22,33.4799
2023-12-23,32.3083
2023-12-24,31.7782
2023-12-25,31.9809
2023-12-26,32.1142
2023-12-27,33.3190
2023-12-28,34.5181
2023-12-29,31.7882
2023-12-30,31.5967
2023-12-31,31.3048
2024-01-01,31.1050
2024-01-02,31.4277
2024-01-03,30.1008
2024-01-04,31.6722
2024-01-05,32.6911
2024-01-06,33.8699
2024-01-07,33.0684
2024-01-08,35.1723
2024-01-09,32.9313
2024-01-10,33.1428
2024-01-11,33.4949
2024-01-12,32.4425
2024-01-13,32.6010
2024-01-14,33.3629
2024-01-15,33.5714
2024-01-16,31.6165
2024-01-17,31.4351
2024-01-18,28.6111
2024-01-19,29.0216
2024-01-20,29.3302
2024-01-21,30.2753
2024-01-22,31.4404
2024-01-23,29.3904
2024-01-24,29.3372
2024-01-25,29.4246
2024-01-26,28.7966
2024-01-27,28.1430
2024-01-28,28.4316
2024-01-29,30.4520
2024-01-30,30.3047
2024-01-31,30.1387
2024-02-01,31.3093
2024-02-02,30.7477
2024-02-03,30.1698
2024-02-04,29.8916
2024-02-05,30.2739
2024-02-06,29.8262
2024-02-07,30.1848
2024-02-08,29.2015
2024-02-09,28.4333
2024-02-10,28.4561
2024-02-11,28.3897
2024-02-12,28.4304
2024-02-13,27.5291
2024-02-14,27.0267
2024-02-15,26.5364
2024-02-16,26.6734
2024-02-17,26.0872
2024-02-18,25.7296
2024-02-19,25.9539
2024-02-20,25.6718
2024-02-21,25.9446
2024-02-22,25.9102
2024-02-23,25.5478
2024-02-24,25.0514
2024-02-25,25.6443
2024-02-26,26.2433
2024-02-27,26.3162
2024-02-28,26.7911
2024-02-29,28.0457
2024-03-01,27.4338
2024-03-02,27.3148
2024-03-03,28.1129
2024-03-04,28.8184
2024-03-05,28.9526
2024-03-06,30.2647
2024-03-07,29.6002
2024-03-08,28.7879
2024-03-09,28.5316
2024-03-10,29.3493
2024-03-11,29.8416
2024-03-12,28.0320
2024-03-13,27.4043
2024-03-14,27.8005
2024-03-15,28.2843
2024-03-16,29.0143
2024-03-17,29.0170
2024-03-18,29.8475
2024-03-19,30.7893
2024-03-20,30.7269
2024-03-21,29.5436
2024-03-22,27.7292
2024-03-23,28.1555
2024-03-24,27.1190
2024-03-25,28.6616
2024-03-26,30.4444
2024-03-27,29.6823
2024-03-28,29.9655
2024-03-29,30.3617
2024-03-30,30.3558
2024-03-31,31.2737
2024-04-01,32.3888
2024-04-02,31.9160
2024-04-03,28.6840
2024-04-04,27.8914
2024-04-05,28.0142
2024-04-06,27.2240
2024-04-07,26.3284
2024-04-08,27.0445
2024-04-09,27.7768
2024-04-10,28.6133
2024-04-11,28.4058
2024-04-12,30.0004
2024-04-13,29.5713
2024-04-14,28.7943
2024-04-15,31.6875
2024-04-16,32.1997
2024-04-17,34.9272
2024-04-18,34.8746
2024-04-19,34.4437
2024-04-20,33.3343
2024-04-21,33.3592
2024-04-22,34.7434
2024-04-23,33.8676
2024-04-24,33.3734
2024-04-25,31.8792
2024-04-26,33.1680
2024-04-27,31.6889
2024-04-28,31.2211
2024-04-29,31.9355
2024-04-30,29.6568
2024-05-01,29.7954
2024-05-02,29.9826
2024-05-03,31.4950
2024-05-04,31.7713
2024-05-05,31.4508
2024-05-06,32.4103
